Data,Dia da Semana,Hora Exata,Turno,Tipo Partida (Jogo),Meu_Lado,Meu_Resultado,Placar,Meu_Nome,Meu_Personagem,Meu_MR,Variacao_MR,Oponente_Nome,Oponente_Personagem,Oponente_Controle,Oponente_MR,Venceu_Primeiro_Round,Sequencia_Rounds,Meus_Golpes_Finais,Golpes_Oponente
2026-05-06,Quarta-feira,14:42,Tarde,Ranqueada,Player 1,Vitória 🏆,2 x 0,Sahara,Akuma,1945,7,NEPHEW237142,Juri,Classic,1909,Sim,V-V,"Over Drive (OD), Critical Art (CA)",Nenhum
2026-05-06,Quarta-feira,14:39,Tarde,Ranqueada,Player 1,Vitória 🏆,2 x 0,Sahara,Akuma,1938,6,NEPHEW237142,Juri,Classic,1916,Sim,V-V,"Normal, Normal",Nenhum
2026-05-06,Quarta-feira,14:22,Tarde,Ranqueada,Player 1,Vitória 🏆,2 x 1,Sahara,Akuma,1932,6,Dangodao,Dhalsim,Classic,1822,Não,D-V-V,"Normal, Super Art (SA)",Normal
2026-05-06,Quarta-feira,14:20,Tarde,Ranqueada,Player 1,Vitória 🏆,2 x 0,Sahara,Akuma,1926,2,Dangodao,Dhalsim,Classic,1828,Sim,V-V,"Over Drive (OD), Normal",Nenhum
2026-05-06,Quarta-feira,14:17,Tarde,Ranqueada,Player 2,Vitória 🏆,0 x 2,Sahara,Akuma,1924,2,King,Ken,Classic,1604,Sim,V-V,"Normal, Over Drive (OD)",Nenhum
2026-05-06,Quarta-feira,14:16,Tarde,Ranqueada,Player 2,Vitória 🏆,0 x 2,Sahara,Akuma,1922,6,King,Ken,Classic,1606,Sim,V-V,"Perfect, Normal",Nenhum
2026-05-06,Quarta-feira,14:13,Tarde,Ranqueada,Player 1,Vitória 🏆,2 x 0,Sahara,Akuma,1916,7,-StevenTse-GZ,Ryu,Classic,1850,Sim,V-V,"Super Art (SA), Super Art (SA)",Nenhum
2026-05-06,Quarta-feira,14:12,Tarde,Ranqueada,Player 1,Vitória 🏆,2 x 0,Sahara,Akuma,1909,-10,-StevenTse-GZ,Ryu,Classic,1857,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-06,Quarta-feira,14:11,Tarde,Ranqueada,Player 1,Derrota ❌,0 x 2,Sahara,Akuma,1919,7,-StevenTse-GZ,Ryu,Classic,1847,Não,D-D,Nenhum,"Normal, Super Art (SA)"
2026-05-06,Quarta-feira,14:08,Tarde,Ranqueada,Player 2,Vitória 🏆,0 x 2,Sahara,Akuma,1912,8,Yoske,C. Viper,Modern,1882,Sim,V-V,"Normal, Normal",Nenhum
2026-05-06,Quarta-feira,14:07,Tarde,Ranqueada,Player 2,Vitória 🏆,0 x 2,Sahara,Akuma,1904,-9,Yoske,C. Viper,Modern,1890,Sim,V-V,"Super Art (SA), Critical Art (CA)",Nenhum
2026-05-06,Quarta-feira,14:05,Tarde,Ranqueada,Player 1,Derrota ❌,0 x 2,Sahara,Akuma,1913,-10,高木サンダー,Blanka,Classic,1864,Não,D-D,Nenhum,"Normal, Normal"
2026-05-06,Quarta-feira,14:02,Tarde,Ranqueada,Player 1,Derrota ❌,0 x 2,Sahara,Akuma,1923,7,高木サンダー,Blanka,Classic,1854,Não,D-D,Nenhum,"Normal, Over Drive (OD)"
2026-05-06,Quarta-feira,13:59,Tarde,Ranqueada,Player 2,Vitória 🏆,1 x 2,Sahara,Akuma,1916,-9,Yoske,C. Viper,Modern,1893,Não,D-V-V,"Perfect, Critical Art (CA)",Super Art (SA)
2026-05-06,Quarta-feira,13:57,Tarde,Ranqueada,Player 2,Derrota ❌,2 x 0,Sahara,Akuma,1925,7,Yoske,C. Viper,Modern,1884,Não,D-D,Nenhum,"Normal, Over Drive (OD)"
2026-05-06,Quarta-feira,13:55,Tarde,Ranqueada,Player 2,Vitória 🏆,0 x 2,Sahara,Akuma,1918,-9,Yoske,C. Viper,Modern,1891,Sim,V-V,"Normal, Normal",Nenhum
2026-05-06,Quarta-feira,13:53,Tarde,Ranqueada,Player 1,Derrota ❌,1 x 2,Sahara,Akuma,1927,-9,發斗獨狗,Alex,Classic,1890,Não,D-V-D,Normal,"Over Drive (OD), Normal"
2026-05-06,Quarta-feira,13:51,Tarde,Ranqueada,Player 1,Derrota ❌,1 x 2,Sahara,Akuma,1936,8,發斗獨狗,Alex,Classic,1881,Não,D-V-D,Normal,"Chip Damage (C), Over Drive (OD)"
2026-05-06,Quarta-feira,11:25,Manhã,Ranqueada,Player 2,Vitória 🏆,0 x 2,Sahara,Akuma,1928,8,2BASSA,Juri,Classic,1908,Sim,V-V,"Over Drive (OD), Normal",Nenhum
2026-05-06,Quarta-feira,11:24,Manhã,Ranqueada,Player 2,Vitória 🏆,0 x 2,Sahara,Akuma,1920,8,2BASSA,Juri,Classic,1916,Sim,V-V,"Normal, Normal",Nenhum
2026-05-06,Quarta-feira,11:18,Manhã,Ranqueada,Player 1,Vitória 🏆,2 x 1,Sahara,Akuma,1912,8,みすとめーる@iMstMaiL,Kimberly,Classic,1892,Não,D-V-V,"Super Art (SA), Over Drive (OD)",Super Art (SA)
2026-05-06,Quarta-feira,11:15,Manhã,Ranqueada,Player 1,Vitória 🏆,2 x 1,Sahara,Akuma,1904,-78,みすとめーる@iMstMaiL,Kimberly,Classic,1900,Não,D-V-V,"Over Drive (OD), Normal",Normal
2026-05-06,Quarta-feira,09:27,Manhã,Ranqueada,Player 1,Vitória 🏆,2 x 0,Sahara,Ed,1982,6,bola-chan,Zangief,Classic,1869,Sim,V-V,"Chip Damage (C), Super Art (SA)",Nenhum
2026-05-06,Quarta-feira,09:26,Manhã,Ranqueada,Player 1,Vitória 🏆,2 x 1,Sahara,Ed,1976,64,bola-chan,Zangief,Classic,1875,Sim,V-D-V,"Normal, Normal",Normal
2026-05-06,Quarta-feira,09:23,Manhã,Ranqueada,Player 1,Derrota ❌,1 x 2,Sahara,Akuma,1912,-8,tomorock21,Dee Jay,Classic,1915,Não,D-V-D,Perfect,"Normal, Chip Damage (C)"
2026-05-06,Quarta-feira,09:21,Manhã,Ranqueada,Player 1,Derrota ❌,1 x 2,Sahara,Akuma,1920,8,tomorock21,Dee Jay,Classic,1907,Sim,V-D-D,Normal,"Normal, Super Art (SA)"
2026-05-06,Quarta-feira,09:19,Manhã,Ranqueada,Player 1,Vitória 🏆,2 x 1,Sahara,Akuma,1912,8,tomorock21,Dee Jay,Classic,1915,Sim,V-D-V,"Normal, Super Art (SA)",Normal
2026-05-06,Quarta-feira,09:15,Manhã,Ranqueada,Player 2,Vitória 🏆,0 x 2,Sahara,Akuma,1904,-9,水陸両用 月ノ美兎,M. Bison,Classic,1889,Sim,V-V,"Normal, Perfect",Nenhum
2026-05-06,Quarta-feira,09:14,Manhã,Ranqueada,Player 2,Derrota ❌,2 x 1,Sahara,Akuma,1913,8,水陸両用 月ノ美兎,M. Bison,Classic,1880,Não,D-V-D,Normal,"Normal, Normal"
2026-05-06,Quarta-feira,09:12,Manhã,Ranqueada,Player 2,Vitória 🏆,0 x 2,Sahara,Akuma,1905,-6,水陸両用 月ノ美兎,M. Bison,Classic,1888,Sim,V-V,"Normal, Perfect",Nenhum
2026-05-06,Quarta-feira,09:10,Manhã,Ranqueada,Player 1,Derrota ❌,0 x 2,Sahara,Akuma,1911,-6,hinao,Ryu,Classic,2003,Não,D-D,Nenhum,"Normal, Super Art (SA)"
2026-05-06,Quarta-feira,09:09,Manhã,Ranqueada,Player 1,Derrota ❌,1 x 2,Sahara,Akuma,1917,-53,hinao,Ryu,Classic,1997,Não,D-V-D,Normal,"Normal, Critical Art (CA)"
2026-05-06,Quarta-feira,08:00,Manhã,Ranqueada,Player 2,Vitória 🏆,1 x 2,Sahara,Ed,1970,-11,VLY｜すりーぷ,Ken,Classic,1870,Não,D-V-V,"Normal, Perfect",Normal
2026-05-06,Quarta-feira,07:57,Manhã,Ranqueada,Player 2,Derrota ❌,2 x 0,Sahara,Ed,1981,6,VLY｜すりーぷ,Ken,Classic,1859,Não,D-D,Nenhum,"Normal, Super Art (SA)"
2026-05-06,Quarta-feira,07:55,Manhã,Ranqueada,Player 2,Vitória 🏆,0 x 2,Sahara,Ed,1975,7,VLY｜すりーぷ,Ken,Classic,1865,Sim,V-V,"Perfect, Super Art (SA)",Nenhum
2026-05-06,Quarta-feira,07:49,Manhã,Ranqueada,Player 1,Vitória 🏆,2 x 1,Sahara,Ed,1968,7,SivaKaeru,Lily,Classic,1905,Sim,V-D-V,"Normal, Normal",Normal
2026-05-06,Quarta-feira,07:46,Manhã,Ranqueada,Player 1,Vitória 🏆,2 x 1,Sahara,Ed,1961,6,SivaKaeru,Lily,Classic,1912,Sim,V-D-V,"Normal, Super Art (SA)",Normal
2026-05-06,Quarta-feira,07:31,Manhã,Ranqueada,Player 1,Vitória 🏆,2 x 0,Sahara,Ed,1955,6,れいーあ,Ken,Classic,1864,Sim,V-V,"Super Art (SA), Super Art (SA)",Nenhum
2026-05-06,Quarta-feira,07:29,Manhã,Ranqueada,Player 1,Vitória 🏆,2 x 0,Sahara,Ed,1949,-8,れいーあ,Ken,Classic,1870,Sim,V-V,"Super Art (SA), Super Art (SA)",Nenhum
2026-05-06,Quarta-feira,07:26,Manhã,Ranqueada,Player 2,Derrota ❌,2 x 1,Sahara,Ed,1957,-9,karura_pc,Marisa,Classic,1938,Não,D-V-D,Super Art (SA),"Normal, Normal"
2026-05-06,Quarta-feira,07:23,Manhã,Ranqueada,Player 2,Derrota ❌,2 x 0,Sahara,Ed,1966,52,karura_pc,Marisa,Classic,1929,Não,D-D,Nenhum,"Super Art (SA), Normal"
2026-05-06,Quarta-feira,07:19,Manhã,Ranqueada,Player 2,Vitória 🏆,1 x 2,Sahara,Akuma,1914,3,なすみすまむ,Dhalsim,Classic,1652,Não,D-V-V,"Normal, Super Art (SA)",Normal
2026-05-06,Quarta-feira,07:17,Manhã,Ranqueada,Player 2,Vitória 🏆,0 x 2,Sahara,Akuma,1911,-8,なすみすまむ,Dhalsim,Classic,1655,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-06,Quarta-feira,07:14,Manhã,Ranqueada,Player 1,Derrota ❌,1 x 2,Sahara,Akuma,1919,-8,karura_pc,Marisa,Classic,1916,Sim,V-D-D,Normal,"Normal, Normal"
2026-05-06,Quarta-feira,07:11,Manhã,Ranqueada,Player 1,Derrota ❌,1 x 2,Sahara,Akuma,1927,8,karura_pc,Marisa,Classic,1908,Sim,V-D-D,Over Drive (OD),"Normal, Super Art (SA)"
2026-05-06,Quarta-feira,07:05,Manhã,Ranqueada,Player 2,Vitória 🏆,1 x 2,Sahara,Akuma,1919,-9,Shinto,Alex,Classic,1898,Não,D-V-V,"Super Art (SA), Super Art (SA)",Normal
2026-05-06,Quarta-feira,07:03,Manhã,Ranqueada,Player 2,Derrota ❌,2 x 1,Sahara,Akuma,1928,7,Shinto,Alex,Classic,1889,Não,D-V-D,Normal,"Normal, Critical Art (CA)"
2026-05-06,Quarta-feira,07:00,Manhã,Ranqueada,Player 2,Vitória 🏆,1 x 2,Sahara,Akuma,1921,6,Shinto,Alex,Classic,1896,Sim,V-D-V,"Over Drive (OD), Normal",Normal
2026-05-06,Quarta-feira,06:56,Manhã,Ranqueada,Player 2,Vitória 🏆,0 x 2,Sahara,Akuma,1915,-10,酒巻ゆき,Sagat,Classic,1833,Sim,V-V,"Normal, Normal",Nenhum
2026-05-06,Quarta-feira,06:55,Manhã,Ranqueada,Player 2,Derrota ❌,2 x 1,Sahara,Akuma,1925,6,酒巻ゆき,Sagat,Classic,1823,Sim,V-D-D,Normal,"Normal, Perfect"
2026-05-06,Quarta-feira,06:53,Manhã,Ranqueada,Player 2,Vitória 🏆,1 x 2,Sahara,Akuma,1919,7,酒巻ゆき,Sagat,Classic,1829,Sim,V-D-V,"Normal, Normal",Normal
2026-05-06,Quarta-feira,06:36,Manhã,Ranqueada,Player 2,Vitória 🏆,1 x 2,Sahara,Akuma,1912,-9,Nth＿satoru,Rashid,Classic,1890,Sim,V-D-V,"Normal, Super Art (SA)",Normal
2026-05-06,Quarta-feira,06:33,Manhã,Ranqueada,Player 2,Derrota ❌,2 x 0,Sahara,Akuma,1921,7,Nth＿satoru,Rashid,Classic,1881,Não,D-D,Nenhum,"Normal, Perfect"
2026-05-06,Quarta-feira,06:31,Manhã,Ranqueada,Player 2,Vitória 🏆,0 x 2,Sahara,Akuma,1914,5,Nth＿satoru,Rashid,Classic,1888,Sim,V-V,"Over Drive (OD), Normal",Nenhum
2026-05-06,Quarta-feira,06:22,Manhã,Ranqueada,Player 1,Vitória 🏆,2 x 0,Sahara,Akuma,1909,5,なんでねー | JPV,JP,Classic,1780,Sim,V-V,"Normal, Normal",Nenhum
2026-05-06,Quarta-feira,06:20,Manhã,Ranqueada,Player 1,Vitória 🏆,2 x 0,Sahara,Akuma,1904,-9,なんでねー | JPV,JP,Classic,1785,Sim,V-V,"Perfect, Super Art (SA)",Nenhum
2026-05-06,Quarta-feira,06:18,Manhã,Ranqueada,Player 1,Derrota ❌,0 x 2,Sahara,Akuma,1913,-9,我简直是忧郁文帅气男主,Akuma,Classic,1880,Não,D-D,Nenhum,"Chip Damage (C), Critical Art (CA)"
2026-05-06,Quarta-feira,06:17,Manhã,Ranqueada,Player 1,Derrota ❌,1 x 2,Sahara,Akuma,1922,7,我简直是忧郁文帅气男主,Akuma,Classic,1871,Não,D-V-D,Super Art (SA),"Over Drive (OD), Super Art (SA)"
2026-05-06,Quarta-feira,06:14,Manhã,Ranqueada,Player 1,Vitória 🏆,2 x 0,Sahara,Akuma,1915,8,我简直是忧郁文帅气男主,Akuma,Classic,1878,Sim,V-V,"Super Art (SA), Over Drive (OD)",Nenhum
2026-05-06,Quarta-feira,06:11,Manhã,Ranqueada,Player 2,Vitória 🏆,1 x 2,Sahara,Akuma,1907,8,bola-chan,Zangief,Classic,1902,Sim,V-D-V,"Normal, Perfect",Over Drive (OD)
2026-05-06,Quarta-feira,06:09,Manhã,Ranqueada,Player 2,Vitória 🏆,1 x 2,Sahara,Akuma,1899,-8,bola-chan,Zangief,Classic,1910,Não,D-V-V,"Normal, Normal",Normal
2026-05-06,Quarta-feira,06:06,Manhã,Ranqueada,Player 2,Derrota ❌,2 x 1,Sahara,Akuma,1907,7,bola-chan,Zangief,Classic,1902,Sim,V-D-D,Normal,"Normal, Normal"
2026-05-06,Quarta-feira,05:21,Madrugada,Ranqueada,Player 2,Vitória 🏆,0 x 2,Sahara,Akuma,1900,8,黑魅灵_F,Cammy,Classic,1867,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-06,Quarta-feira,05:19,Madrugada,Ranqueada,Player 2,Vitória 🏆,0 x 2,Sahara,Akuma,1892,7,黑魅灵_F,Cammy,Classic,1875,Sim,V-V,"Normal, Normal",Nenhum
2026-05-06,Quarta-feira,05:07,Madrugada,Ranqueada,Player 2,Vitória 🏆,1 x 2,Sahara,Akuma,1885,8,VLY｜すりーぷ,Ken,Classic,1855,Não,D-V-V,"Normal, Perfect",Normal
2026-05-06,Quarta-feira,05:05,Madrugada,Ranqueada,Player 2,Vitória 🏆,1 x 2,Sahara,Akuma,1877,7,VLY｜すりーぷ,Ken,Classic,1863,Não,D-V-V,"Over Drive (OD), Super Art (SA)",Normal
2026-05-06,Quarta-feira,04:59,Madrugada,Ranqueada,Player 1,Vitória 🏆,2 x 0,Sahara,Akuma,1870,-10,やまぐちぇ,Terry,Classic,1811,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-06,Quarta-feira,04:58,Madrugada,Ranqueada,Player 1,Derrota ❌,0 x 2,Sahara,Akuma,1880,6,やまぐちぇ,Terry,Classic,1801,Não,D-D,Nenhum,"Normal, Normal"
2026-05-06,Quarta-feira,04:56,Madrugada,Ranqueada,Player 1,Vitória 🏆,2 x 1,Sahara,Akuma,1874,14,やまぐちぇ,Terry,Classic,1807,Sim,V-D-V,"Normal, Super Art (SA)",Critical Art (CA)
2026-05-06,Quarta-feira,04:50,Madrugada,Ranqueada,Player 2,Vitória 🏆,1 x 2,Sahara,Akuma,1860,-9,EYCPOYCC,Luke,Modern,1823,Sim,V-D-V,"Normal, Perfect",Over Drive (OD)
2026-05-06,Quarta-feira,04:48,Madrugada,Ranqueada,Player 2,Derrota ❌,2 x 1,Sahara,Akuma,1869,326,EYCPOYCC,Luke,Modern,1814,Sim,V-D-D,Normal,"Critical Art (CA), Super Art (SA)"
2026-05-05,Terça-feira,15:35,Tarde,Sala Personalizada,Player 1,Derrota ❌,0 x 2,Sahara,Ryu,1543,0,Flugel,Mai,Classic,1678,Não,D-D,Nenhum,"Normal, Normal"
2026-05-05,Terça-feira,15:33,Tarde,Sala Personalizada,Player 1,Vitória 🏆,2 x 1,Sahara,Ryu,1543,0,Flugel,Mai,Classic,1678,Sim,V-D-V,"Over Drive (OD), Critical Art (CA)",Normal
2026-05-05,Terça-feira,15:30,Tarde,Sala Personalizada,Player 1,Vitória 🏆,2 x 0,Sahara,Ryu,1543,0,Flugel,Mai,Classic,1678,Sim,V-V,"Super Art (SA), Over Drive (OD)",Nenhum
2026-05-05,Terça-feira,15:28,Tarde,Sala Personalizada,Player 1,Vitória 🏆,2 x 0,Sahara,Ryu,1543,0,Flugel,Mai,Classic,1678,Sim,V-V,"Over Drive (OD), Critical Art (CA)",Nenhum
2026-05-05,Terça-feira,15:26,Tarde,Sala Personalizada,Player 1,Vitória 🏆,2 x 0,Sahara,Ryu,1543,0,Flugel,Mai,Classic,1678,Sim,V-V,"Normal, Normal",Nenhum
2026-05-05,Terça-feira,15:25,Tarde,Sala Personalizada,Player 1,Vitória 🏆,2 x 0,Sahara,Ryu,1543,0,Flugel,Mai,Classic,1678,Sim,V-V,"Over Drive (OD), Over Drive (OD)",Nenhum
2026-05-05,Terça-feira,15:23,Tarde,Sala Personalizada,Player 1,Vitória 🏆,2 x 0,Sahara,Ryu,1543,0,Flugel,Mai,Classic,1678,Sim,V-V,"Normal, Over Drive (OD)",Nenhum
2026-05-05,Terça-feira,15:22,Tarde,Sala Personalizada,Player 1,Vitória 🏆,2 x 1,Sahara,Ryu,1543,0,Flugel,Mai,Classic,1678,Não,D-V-V,"Over Drive (OD), Super Art (SA)",Normal
2026-05-05,Terça-feira,15:18,Tarde,Sala Personalizada,Player 1,Vitória 🏆,2 x 0,Sahara,Ryu,1543,0,Flugel,Mai,Classic,1678,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-05,Terça-feira,15:17,Tarde,Sala Personalizada,Player 1,Derrota ❌,1 x 2,Sahara,Ryu,1543,0,Flugel,Mai,Classic,1678,Sim,V-D-D,Over Drive (OD),"Super Art (SA), Normal"
