Data,Dia da Semana,Hora Exata,Turno,Numero_Partida_No_Dia,Streak_Atual,Tipo Partida (Jogo),Meu_Lado,Meu_Resultado,Placar,Meu_Nome,Meu_Personagem,Meu_MR,Variacao_MR,Oponente_ID,Oponente_Nome,Oponente_Personagem,Oponente_Controle,Oponente_MR,Diferenca_MR,Nivel_Oponente,Arquetipo_Oponente,Tier_Oponente,Mirror_Match,Venceu_Primeiro_Round,Sequencia_Rounds,Meus_Golpes_Finais,Golpes_Oponente
2026-05-14,Quinta-feira,09:14,Manhã,78,1,Ranqueada,Player 1,Vitória 🏆,2 x 0,kawano,Akuma,2021,5,3974823018,干し柿＿,Lily,Modern,1876,-145,Inferior,Grappler,D,False,Sim,V-V,"Normal, Over Drive (OD)",Nenhum
2026-05-14,Quinta-feira,09:12,Manhã,77,-1,Ranqueada,Player 1,Vitória 🏆,2 x 1,kawano,Akuma,2016,-11,3974823018,干し柿＿,Lily,Modern,1881,-135,Inferior,Grappler,D,False,Sim,V-D-V,"Over Drive (OD), Normal",Normal
2026-05-14,Quinta-feira,09:09,Manhã,76,2,Ranqueada,Player 1,Derrota ❌,0 x 2,kawano,Akuma,2027,6,3974823018,干し柿＿,Lily,Modern,1870,-157,Inferior,Grappler,D,False,Não,D-D,Nenhum,"Normal, Perfect"
2026-05-14,Quinta-feira,09:07,Manhã,75,1,Ranqueada,Player 1,Vitória 🏆,2 x 0,kawano,Akuma,2021,6,2963698637,SURINI,Mai,Classic,1933,-88,Inferior,Rushdown,S,False,Sim,V-V,"Normal, Chip Damage (C)",Nenhum
2026-05-14,Quinta-feira,09:06,Manhã,74,-2,Ranqueada,Player 1,Vitória 🏆,2 x 1,kawano,Akuma,2015,-9,2963698637,SURINI,Mai,Classic,1939,-76,Inferior,Rushdown,S,False,Sim,V-D-V,"Normal, Super Art (SA)",Super Art (SA)
2026-05-14,Quinta-feira,09:03,Manhã,73,-1,Ranqueada,Player 2,Derrota ❌,2 x 1,kawano,Akuma,2024,-9,1128679477,miLiq｜LaVISION。,A.K.I.,Classic,1995,-29,Similar,Unorthodox,B,False,Não,D-V-D,Normal,"Normal, Normal"
2026-05-14,Quinta-feira,09:00,Manhã,72,4,Ranqueada,Player 2,Derrota ❌,2 x 1,kawano,Akuma,2033,8,1128679477,miLiq｜LaVISION。,A.K.I.,Classic,1986,-47,Similar,Unorthodox,B,False,Sim,V-D-D,Normal,"Super Art (SA), Super Art (SA)"
2026-05-14,Quinta-feira,08:56,Manhã,71,3,Ranqueada,Player 1,Vitória 🏆,2 x 0,kawano,Akuma,2025,9,4159348779,shion,Ken,Classic,2045,20,Similar,Shoto,B,False,Sim,V-V,"Over Drive (OD), Normal",Nenhum
2026-05-14,Quinta-feira,08:54,Manhã,70,2,Ranqueada,Player 1,Vitória 🏆,2 x 1,kawano,Akuma,2016,8,4159348779,shion,Ken,Classic,2054,38,Similar,Shoto,B,False,Não,D-V-V,"Normal, Normal",Normal
2026-05-14,Quinta-feira,08:42,Manhã,69,1,Ranqueada,Player 1,Vitória 🏆,2 x 1,kawano,Akuma,2008,8,1147440633,octo,Akuma,Classic,1991,-17,Similar,Shoto,A,True,Não,D-V-V,"Super Art (SA), Over Drive (OD)",Normal
2026-05-14,Quinta-feira,08:40,Manhã,68,-2,Ranqueada,Player 1,Vitória 🏆,2 x 0,kawano,Akuma,2000,-7,1147440633,octo,Akuma,Classic,1999,-1,Similar,Shoto,A,True,Sim,V-V,"Perfect, Critical Art (CA)",Nenhum
2026-05-14,Quinta-feira,08:38,Manhã,67,-1,Ranqueada,Player 1,Derrota ❌,1 x 2,kawano,Akuma,2007,-7,3550331968,ひぐち！,Guile,Classic,2050,43,Similar,Zoner,C,False,Não,D-V-D,Normal,"Super Art (SA), Normal"
2026-05-14,Quinta-feira,08:35,Manhã,66,2,Ranqueada,Player 1,Derrota ❌,0 x 2,kawano,Akuma,2014,8,3550331968,ひぐち！,Guile,Classic,2043,29,Similar,Zoner,C,False,Não,D-D,Nenhum,"Normal, Super Art (SA)"
2026-05-14,Quinta-feira,08:33,Manhã,65,1,Ranqueada,Player 1,Vitória 🏆,2 x 0,kawano,Akuma,2006,8,4159348779,shion,Ken,Classic,2011,5,Similar,Shoto,B,False,Sim,V-V,"Normal, Critical Art (CA)",Nenhum
2026-05-14,Quinta-feira,08:32,Manhã,64,-1,Ranqueada,Player 1,Vitória 🏆,2 x 0,kawano,Akuma,1998,-10,4159348779,shion,Ken,Classic,2019,21,Similar,Shoto,B,False,Sim,V-V,"Super Art (SA), Normal",Nenhum
2026-05-14,Quinta-feira,08:23,Manhã,63,1,Ranqueada,Player 2,Derrota ❌,2 x 0,kawano,Akuma,2008,6,3228082388,2sk-怪人王子,Kimberly,Classic,1919,-89,Inferior,Rushdown,B,False,Não,D-D,Nenhum,"Super Art (SA), Over Drive (OD)"
2026-05-14,Quinta-feira,08:21,Manhã,62,-3,Ranqueada,Player 2,Vitória 🏆,1 x 2,kawano,Akuma,2002,-10,3228082388,2sk-怪人王子,Kimberly,Classic,1925,-77,Inferior,Rushdown,B,False,Sim,V-D-V,"Normal, Super Art (SA)",Super Art (SA)
2026-05-14,Quinta-feira,08:19,Manhã,61,-2,Ranqueada,Player 2,Derrota ❌,2 x 1,kawano,Akuma,2012,-8,3228082388,2sk-怪人王子,Kimberly,Classic,1915,-97,Inferior,Rushdown,B,False,Sim,V-D-D,Normal,"Normal, Perfect"
2026-05-14,Quinta-feira,08:17,Manhã,60,-1,Ranqueada,Player 1,Derrota ❌,1 x 2,kawano,Akuma,2020,-9,3470214422,ゆーざー,Alex,Classic,2004,-16,Similar,Grappler,B,False,Não,D-V-D,Super Art (SA),"Super Art (SA), Normal"
2026-05-14,Quinta-feira,08:14,Manhã,59,2,Ranqueada,Player 1,Derrota ❌,0 x 2,kawano,Akuma,2029,7,3470214422,ゆーざー,Alex,Classic,1995,-34,Similar,Grappler,B,False,Não,D-D,Nenhum,"Normal, Super Art (SA)"
2026-05-14,Quinta-feira,08:12,Manhã,58,1,Ranqueada,Player 2,Vitória 🏆,1 x 2,kawano,Akuma,2022,7,1128679477,miLiq｜LaVISION。,A.K.I.,Classic,1959,-63,Inferior,Unorthodox,B,False,Sim,V-D-V,"Perfect, Perfect",Super Art (SA)
2026-05-14,Quinta-feira,08:10,Manhã,57,-1,Ranqueada,Player 2,Vitória 🏆,1 x 2,kawano,Akuma,2015,-10,1128679477,miLiq｜LaVISION。,A.K.I.,Classic,1966,-49,Similar,Unorthodox,B,False,Não,D-V-V,"Over Drive (OD), Super Art (SA)",Normal
2026-05-14,Quinta-feira,08:08,Manhã,56,1,Ranqueada,Player 2,Derrota ❌,2 x 0,kawano,Akuma,2025,8,1128679477,miLiq｜LaVISION。,A.K.I.,Classic,1956,-69,Inferior,Unorthodox,B,False,Não,D-D,Nenhum,"Normal, Normal"
2026-05-14,Quinta-feira,08:05,Manhã,55,-1,Ranqueada,Player 1,Vitória 🏆,2 x 0,kawano,Akuma,2017,-8,2011017170,Naooonn,Akuma,Classic,2036,19,Similar,Shoto,A,True,Sim,V-V,"Normal, Over Drive (OD)",Nenhum
2026-05-14,Quinta-feira,08:04,Manhã,54,1,Ranqueada,Player 1,Derrota ❌,0 x 2,kawano,Akuma,2025,8,2011017170,Naooonn,Akuma,Classic,2028,3,Similar,Shoto,A,True,Não,D-D,Nenhum,"Normal, Normal"
2026-05-14,Quinta-feira,08:02,Manhã,53,-4,Ranqueada,Player 1,Vitória 🏆,2 x 0,kawano,Akuma,2017,-9,2011017170,Naooonn,Akuma,Classic,2036,19,Similar,Shoto,A,True,Sim,V-V,"Normal, Normal",Nenhum
2026-05-14,Quinta-feira,07:55,Manhã,52,-3,Ranqueada,Player 2,Derrota ❌,2 x 0,kawano,Akuma,2026,-10,3140163370,Meg5,Juri,Classic,1976,-50,Inferior,Rushdown,B,False,Não,D-D,Nenhum,"Normal, Normal"
