Data,Dia da Semana,Hora Exata,Turno,Numero_Partida_No_Dia,Streak_Atual,Tipo Partida (Jogo),Meu_Lado,Meu_Resultado,Placar,Meu_Nome,Meu_Personagem,Meu_MR,Variacao_MR,Oponente_ID,Oponente_Nome,Oponente_Personagem,Oponente_Controle,Oponente_MR,Diferenca_MR,Nivel_Oponente,Arquetipo_Oponente,Tier_Oponente,Mirror_Match,Venceu_Primeiro_Round,Sequencia_Rounds,Meus_Golpes_Finais,Golpes_Oponente
2026-05-11,Segunda-feira,21:24,Noite,55,-1,Ranqueada,Player 2,Derrota ❌,2 x 0,ZSF | Winter 冬,Elena,1846,-9,4199727158,Pertusi77,Terry,Classic,1823,-23,Similar,Shoto,S,False,Não,D-D,Nenhum,"Normal, Super Art (SA)"
2026-05-11,Segunda-feira,21:23,Noite,54,1,Ranqueada,Player 2,Derrota ❌,2 x 0,ZSF | Winter 冬,Elena,1855,8,4199727158,Pertusi77,Terry,Classic,1814,-41,Similar,Shoto,S,False,Não,D-D,Nenhum,"Normal, Normal"
2026-05-11,Segunda-feira,21:20,Noite,53,-1,Ranqueada,Player 2,Vitória 🏆,1 x 2,ZSF | Winter 冬,Elena,1847,-8,1377315476,Cell-PC,M. Bison,Classic,1861,14,Similar,All-Rounder,A,False,Não,D-V-V,"Normal, Super Art (SA)",Normal
2026-05-11,Segunda-feira,21:17,Noite,52,1,Ranqueada,Player 2,Derrota ❌,2 x 1,ZSF | Winter 冬,Elena,1855,8,1377315476,Cell-PC,M. Bison,Classic,1853,-2,Similar,All-Rounder,A,False,Não,D-V-D,Normal,"Normal, Critical Art (CA)"
2026-05-11,Segunda-feira,21:14,Noite,51,-2,Ranqueada,Player 2,Vitória 🏆,0 x 2,ZSF | Winter 冬,Elena,1847,-6,1377315476,Cell-PC,M. Bison,Classic,1861,14,Similar,All-Rounder,A,False,Sim,V-V,"Normal, Normal",Nenhum
2026-05-11,Segunda-feira,21:08,Noite,50,-1,Ranqueada,Player 2,Derrota ❌,2 x 1,ZSF | Winter 冬,Elena,1853,-6,2616132292,NotPedro,Ken,Classic,1963,110,Superior,Shoto,B,False,Sim,V-D-D,Normal,"Normal, Super Art (SA)"
2026-05-11,Segunda-feira,21:06,Noite,49,1,Ranqueada,Player 2,Derrota ❌,2 x 0,ZSF | Winter 冬,Elena,1859,11,2616132292,NotPedro,Ken,Classic,1957,98,Superior,Shoto,B,False,Não,D-D,Nenhum,"Normal, Normal"
2026-05-11,Segunda-feira,21:03,Noite,48,-2,Ranqueada,Player 2,Vitória 🏆,0 x 2,ZSF | Winter 冬,Elena,1848,-9,2616132292,NotPedro,Ken,Classic,1968,120,Superior,Shoto,B,False,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-11,Segunda-feira,20:59,Noite,47,-1,Ranqueada,Player 2,Derrota ❌,2 x 0,ZSF | Winter 冬,Elena,1857,-9,2555796603,Shinigami,Edmond Honda,Classic,1817,-40,Similar,Desconhecido,?,False,Não,D-D,Nenhum,"Normal, Super Art (SA)"
2026-05-11,Segunda-feira,20:58,Noite,46,1,Ranqueada,Player 2,Derrota ❌,2 x 0,ZSF | Winter 冬,Elena,1866,7,2555796603,Shinigami,Edmond Honda,Classic,1808,-58,Similar,Desconhecido,?,False,Não,D-D,Nenhum,"Normal, Normal"
2026-05-11,Segunda-feira,20:56,Noite,45,-3,Ranqueada,Player 2,Vitória 🏆,1 x 2,ZSF | Winter 冬,Elena,1859,-8,2555796603,Shinigami,Edmond Honda,Classic,1815,-44,Similar,Desconhecido,?,False,Não,D-V-V,"Over Drive (OD), Normal",Over Drive (OD)
2026-05-11,Segunda-feira,20:53,Noite,44,-2,Ranqueada,Player 1,Derrota ❌,0 x 2,ZSF | Winter 冬,Elena,1867,-9,2828990287,KzThierry,Elena,Classic,1861,-6,Similar,Unorthodox,C,True,Não,D-D,Nenhum,"Normal, Normal"
2026-05-11,Segunda-feira,20:51,Noite,43,-1,Ranqueada,Player 1,Derrota ❌,1 x 2,ZSF | Winter 冬,Elena,1876,-7,2828990287,KzThierry,Elena,Classic,1852,-24,Similar,Unorthodox,C,True,Não,D-V-D,Over Drive (OD),"Normal, Normal"
2026-05-11,Segunda-feira,20:47,Noite,42,1,Ranqueada,Player 2,Derrota ❌,2 x 1,ZSF | Winter 冬,Elena,1883,9,2637440966,TomzinMilgrau,JP,Classic,1913,30,Similar,Zoner,S,False,Sim,V-D-D,Normal,"Normal, Super Art (SA)"
2026-05-11,Segunda-feira,20:44,Noite,41,-2,Ranqueada,Player 2,Vitória 🏆,0 x 2,ZSF | Winter 冬,Elena,1874,-7,2637440966,TomzinMilgrau,JP,Classic,1922,48,Similar,Zoner,S,False,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-11,Segunda-feira,20:42,Noite,40,-1,Ranqueada,Player 2,Derrota ❌,2 x 1,ZSF | Winter 冬,Elena,1881,-10,2637440966,TomzinMilgrau,JP,Classic,1915,34,Similar,Zoner,S,False,Não,D-V-D,Normal,"Normal, Super Art (SA)"
2026-05-11,Segunda-feira,20:37,Noite,39,1,Ranqueada,Player 2,Derrota ❌,2 x 1,ZSF | Winter 冬,Elena,1891,6,1314492193,JrxSemedo,Ryu,Classic,1782,-109,Inferior,Shoto,A,False,Sim,V-D-D,Over Drive (OD),"Over Drive (OD), Normal"
2026-05-11,Segunda-feira,20:34,Noite,38,-2,Ranqueada,Player 2,Vitória 🏆,1 x 2,ZSF | Winter 冬,Elena,1885,-11,1314492193,JrxSemedo,Ryu,Classic,1788,-97,Inferior,Shoto,A,False,Não,D-V-V,"Normal, Super Art (SA)",Normal
2026-05-11,Segunda-feira,20:31,Noite,37,-1,Ranqueada,Player 2,Derrota ❌,2 x 0,ZSF | Winter 冬,Elena,1896,-6,1314492193,JrxSemedo,Ryu,Classic,1777,-119,Inferior,Shoto,A,False,Não,D-D,Nenhum,"Normal, Super Art (SA)"
2026-05-11,Segunda-feira,20:29,Noite,36,1,Ranqueada,Player 2,Derrota ❌,2 x 0,ZSF | Winter 冬,Elena,1902,11,3631316984,KBM! Kyuki,JP,Classic,1995,93,Superior,Zoner,S,False,Não,D-D,Nenhum,"Perfect, Super Art (SA)"
2026-05-11,Segunda-feira,20:28,Noite,35,-1,Ranqueada,Player 2,Vitória 🏆,1 x 2,ZSF | Winter 冬,Elena,1891,-6,3631316984,KBM! Kyuki,JP,Classic,2006,115,Superior,Zoner,S,False,Sim,V-D-V,"Normal, Normal",Normal
2026-05-11,Segunda-feira,20:24,Noite,34,1,Ranqueada,Player 2,Derrota ❌,2 x 0,ZSF | Winter 冬,Elena,1897,7,3631316984,KBM! Kyuki,JP,Classic,2000,103,Superior,Zoner,S,False,Não,D-D,Nenhum,"Normal, Super Art (SA)"
2026-05-11,Segunda-feira,20:15,Noite,33,-1,Ranqueada,Player 2,Vitória 🏆,1 x 2,ZSF | Winter 冬,Elena,1890,-9,2828990287,KzThierry,Elena,Classic,1849,-41,Similar,Unorthodox,C,True,Sim,V-D-V,"Normal, Super Art (SA)",Normal
2026-05-11,Segunda-feira,20:12,Noite,32,3,Ranqueada,Player 2,Derrota ❌,2 x 1,ZSF | Winter 冬,Elena,1899,7,2828990287,KzThierry,Elena,Classic,1840,-59,Similar,Unorthodox,C,True,Não,D-V-D,Normal,"Normal, Super Art (SA)"
2026-05-11,Segunda-feira,20:09,Noite,31,2,Ranqueada,Player 2,Vitória 🏆,1 x 2,ZSF | Winter 冬,Elena,1892,8,2828990287,KzThierry,Elena,Classic,1847,-45,Similar,Unorthodox,C,True,Não,D-V-V,"Normal, Super Art (SA)",Normal
2026-05-11,Segunda-feira,20:06,Noite,30,1,Ranqueada,Player 2,Vitória 🏆,0 x 2,ZSF | Winter 冬,Elena,1884,8,2378180637,VeNoM,Ed,Classic,1879,-5,Similar,Shoto,S,False,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-11,Segunda-feira,20:04,Noite,29,-1,Ranqueada,Player 2,Vitória 🏆,0 x 2,ZSF | Winter 冬,Elena,1876,-8,2378180637,VeNoM,Ed,Classic,1887,11,Similar,Shoto,S,False,Sim,V-V,"Normal, Normal",Nenhum
2026-05-11,Segunda-feira,20:02,Noite,28,2,Ranqueada,Player 2,Derrota ❌,2 x 1,ZSF | Winter 冬,Elena,1884,7,2378180637,VeNoM,Ed,Classic,1879,-5,Similar,Shoto,S,False,Sim,V-D-D,Normal,"Normal, Super Art (SA)"
2026-05-11,Segunda-feira,19:57,Noite,27,1,Ranqueada,Player 2,Vitória 🏆,0 x 2,ZSF | Winter 冬,Elena,1877,7,3670273569,tundi,Cammy,Classic,1839,-38,Similar,Rushdown,B,False,Sim,V-V,"Perfect, Normal",Nenhum
2026-05-11,Segunda-feira,19:55,Noite,26,-4,Ranqueada,Player 2,Vitória 🏆,0 x 2,ZSF | Winter 冬,Elena,1870,-7,3670273569,tundi,Cammy,Classic,1846,-24,Similar,Rushdown,B,False,Sim,V-V,"Normal, Super Art (SA)",Nenhum
2026-05-11,Segunda-feira,19:53,Noite,25,-3,Ranqueada,Player 2,Derrota ❌,2 x 1,ZSF | Winter 冬,Elena,1877,-8,2241720179,MiniBomba,Kimberly,Classic,1912,35,Similar,Rushdown,B,False,Sim,V-D-D,Normal,"Normal, Super Art (SA)"
2026-05-11,Segunda-feira,19:50,Noite,24,-2,Ranqueada,Player 2,Derrota ❌,2 x 1,ZSF | Winter 冬,Elena,1885,-9,2241720179,MiniBomba,Kimberly,Classic,1904,19,Similar,Rushdown,B,False,Não,D-V-D,Normal,"Normal, Normal"
2026-05-11,Segunda-feira,19:46,Noite,23,-1,Ranqueada,Player 2,Derrota ❌,2 x 1,ZSF | Winter 冬,Elena,1894,-10,2828990287,KzThierry,Elena,Classic,1847,-47,Similar,Unorthodox,C,True,Não,D-V-D,Normal,"Normal, Normal"
2026-05-11,Segunda-feira,19:44,Noite,22,2,Ranqueada,Player 2,Derrota ❌,2 x 0,ZSF | Winter 冬,Elena,1904,8,2828990287,KzThierry,Elena,Classic,1837,-67,Similar,Unorthodox,C,True,Não,D-D,Nenhum,"Normal, Super Art (SA)"
2026-05-11,Segunda-feira,19:39,Noite,21,1,Ranqueada,Player 2,Vitória 🏆,1 x 2,ZSF | Winter 冬,Elena,1896,9,3381453962,Blaz 2G,Sagat,Classic,1900,4,Similar,All-Rounder,S,False,Sim,V-D-V,"Normal, Normal",Normal
2026-05-11,Segunda-feira,19:36,Noite,20,-1,Ranqueada,Player 2,Vitória 🏆,1 x 2,ZSF | Winter 冬,Elena,1887,-8,3381453962,Blaz 2G,Sagat,Classic,1909,22,Similar,All-Rounder,S,False,Sim,V-D-V,"Normal, Normal",Normal
2026-05-11,Segunda-feira,19:34,Noite,19,3,Ranqueada,Player 2,Derrota ❌,2 x 1,ZSF | Winter 冬,Elena,1895,3,3381453962,Blaz 2G,Sagat,Classic,1901,6,Similar,All-Rounder,S,False,Sim,V-D-D,Normal,"Normal, Normal"
2026-05-11,Segunda-feira,19:30,Noite,18,2,Ranqueada,Player 2,Vitória 🏆,1 x 2,ZSF | Winter 冬,Elena,1892,3,2113266193,Ramza,M. Bison,Classic,1662,-230,Muito Inferior,All-Rounder,A,False,Não,D-V-V,"Normal, Super Art (SA)",Normal
2026-05-11,Segunda-feira,19:27,Noite,17,1,Ranqueada,Player 2,Vitória 🏆,0 x 2,ZSF | Winter 冬,Elena,1889,8,2113266193,Ramza,M. Bison,Classic,1665,-224,Muito Inferior,All-Rounder,A,False,Sim,V-V,"Normal, Normal",Nenhum
2026-05-11,Segunda-feira,19:24,Noite,16,-1,Ranqueada,Player 2,Vitória 🏆,0 x 2,ZSF | Winter 冬,Elena,1881,-8,2241720179,MiniBomba,Kimberly,Classic,1892,11,Similar,Rushdown,B,False,Sim,V-V,"Normal, Perfect",Nenhum
